top	enrichment	err	sample	rank
1500.0	0.104758064516129	0.009703692741459899	GM12878	SPP Shuffled
1750.0	0.10417741935483868	0.009670388111998031	GM12878	SPP Shuffled
2000.0	0.10411290322580648	0.00975875326989635	GM12878	SPP Shuffled
2250.0	0.10391935483870969	0.009699566804021058	GM12878	SPP Shuffled
2500.0	0.10348387096774196	0.009685666325610489	GM12878	SPP Shuffled
2750.0	0.10327419354838713	0.009683684953880249	GM12878	SPP Shuffled
3000.0	0.10280645161290322	0.009685095668703505	GM12878	SPP Shuffled
60.0	0.5307070707070709	0.035810621162279406	K562	C-score
260.0	0.5209696969696971	0.0344867645839212	K562	C-score
510.0	0.5156767676767675	0.03423646904808383	K562	C-score
760.0	0.5106666666666667	0.03384875779777878	K562	C-score
1010.0	0.504868686868687	0.03347920046588954	K562	C-score
1260.0	0.4995858585858585	0.033212660389722794	K562	C-score
1510.0	0.49256565656565676	0.032891503338724044	K562	C-score
1760.0	0.4852727272727275	0.03252089957440277	K562	C-score
2010.0	0.4789090909090907	0.03215627775270819	K562	C-score
2260.0	0.47180808080808084	0.031815059906461225	K562	C-score
2510.0	0.4651010101010102	0.03143166223470908	K562	C-score
2760.0	0.45789898989898975	0.030927314175344965	K562	C-score
3010.0	0.4483131313131312	0.03029015747330656	K562	C-score
50.0	0.5523232323232323	0.03453577290340592	K562	SPP
250.0	0.5353939393939394	0.03360008852538935	K562	SPP
500.0	0.5205454545454548	0.03303562563141576	K562	SPP
750.0	0.5096060606060607	0.032744740980505546	K562	SPP
1000.0	0.4992525252525252	0.032391115490133786	K562	SPP
1250.0	0.49083838383838385	0.03209877595268115	K562	SPP
1500.0	0.4840808080808082	0.03185724210949951	K562	SPP
1750.0	0.4768585858585858	0.0315928247873781	K562	SPP
2000.0	0.4704242424242425	0.03134862944221643	K562	SPP
2250.0	0.4645252525252524	0.031045030644747666	K562	SPP
2500.0	0.4585959595959595	0.030758691076259767	K562	SPP
